id,telecode,name,pinyin,abbr,area_code,area_name,country_code,country_name,longitude,latitude,geo_source,geo_updated_at,created_at,updated_at
30,CRT,长春西,changchunxi,ccx,0110,长春,cn,中国,125.200895,43.876661,amap,2026-04-09 05:57:19.255587+00:00,2026-04-08 08:39:59.301502+00:00,2026-04-09 05:57:19.255587+00:00
31,ICW,成都东,chengdudong,cdd,1707,成都,cn,中国,104.066301,30.572961,amap,2026-04-09 05:57:20.259064+00:00,2026-04-08 08:39:59.301656+00:00,2026-04-09 05:57:20.259064+00:00
32,CNW,成都南,chengdunan,cdn,1707,成都,cn,中国,104.068469,30.60613,amap,2026-04-09 05:57:21.265636+00:00,2026-04-08 08:39:59.301827+00:00,2026-04-09 05:57:21.265636+00:00
33,CDW,成都,chengdu,cd,1707,成都,cn,中国,104.073739,30.697071,amap,2026-04-09 05:57:22.284322+00:00,2026-04-08 08:39:59.302008+00:00,2026-04-09 05:57:22.284322+00:00
34,CMW,成都西,chengduxi,cdx,1707,成都,cn,中国,103.979102,30.685329,amap,2026-04-09 05:57:23.278766+00:00,2026-04-08 08:39:59.302171+00:00,2026-04-09 05:57:23.278766+00:00
35,CAJ,陈官营,chenguanying,cgy,2102,兰州,cn,中国,103.660381,36.08666,amap,2026-04-09 05:57:24.299987+00:00,2026-04-08 08:39:59.302336+00:00,2026-04-09 05:57:24.299987+00:00
36,CNK,长清,changqing,cq,0602,济南,cn,中国,116.732369,36.565285,amap,2026-04-09 05:57:25.298583+00:00,2026-04-08 08:39:59.302530+00:00,2026-04-09 05:57:25.298583+00:00
37,CSQ,长沙,changsha,cs,1407,长沙,cn,中国,113.014603,28.19358,amap,2026-04-09 05:57:26.295900+00:00,2026-04-08 08:39:59.302715+00:00,2026-04-09 05:57:26.295900+00:00
38,CWQ,长沙南,changshanan,csn,1407,长沙,cn,中国,113.06551,28.147093,amap,2026-04-09 05:57:27.329745+00:00,2026-04-08 08:39:59.303119+00:00,2026-04-09 05:57:27.329745+00:00
39,RXQ,长沙西,changshaxi,csx,1407,长沙,cn,中国,112.830146,28.259585,amap,2026-04-09 05:57:28.312370+00:00,2026-04-08 08:39:59.303456+00:00,2026-04-09 05:57:28.312370+00:00
